Borough                 Remain  Leave  Electorate  Remain/(Remain+Leave)  (Remain+Leave)/Electorate
Barking and Dagenham     27750  46130      115812         0.375609095831             0.637930438987
Barnet                  100210  60823      223467         0.622294809138             0.720611991927
Bexley                   47603  80886      170779         0.370483076372             0.752370022075
Brent                    72523  48881      186793         0.597369114691             0.649938702200
Bromley                  92398  90034      231473         0.506479126469             0.788135117271
Camden                   71295  23838      145425         0.749424489925             0.654172253739
City of London            3312   1087        5987         0.752898385997             0.734758643728
Croydon                  92913  78221      245349         0.542925426858             0.697512522977
Ealing                   90024  59017      212991         0.604021712146             0.699752571705
Enfield                  76425  60481      198387         0.558229734270             0.690095621185
Greenwich                65248  52117      168967         0.555940868232             0.694603088177
Hackney                  83398  22868      163284         0.784804170666             0.650804732858
Hammersmith and Fulham   56188  24054      114863         0.700231798809             0.698588753559
Haringey                 79991  25855      150098         0.755730022863             0.705179282869
Harrow                   64042  53183      162397         0.546316911922             0.721842152257
Havering                 42201  96885      183082         0.303416591174             0.759692378279
Hillingdon               58040  74982      193033         0.436318804408             0.689115332612
Hounslow                 58755  56321      165050         0.510575619591             0.697219024538
Islington                76420  25180      144514         0.752165354331             0.703046071661
Kensington and Chelsea   37601  17138       83042         0.686914265880             0.659172466944
Kingston upon Thames     52533  32737      108838         0.616078339393             0.783457983425
Lambeth                 111584  30340      210800         0.786223612638             0.673263757116
Lewisham                 86955  37518      197514         0.698585235352             0.630198365685
Merton                   63003  37097      136352         0.629400599401             0.734129312368
Newham                   55328  49371      176985         0.528448218226             0.591569907054
Redbridge                69213  59020      189843         0.539744059641             0.675468676749
Richmond upon Thames     75396  33410      132632         0.692939727589             0.820360094095
Richmond upon Thames     75396  33410      132632         0.692939727589             0.820360094095
Southwark                94293  35209      195875         0.728120029034             0.661146139119
Sutton                   49319  57241      140288         0.462828453453             0.759580291971
Tower Hamlets            73011  35224      167820         0.674559985217             0.644946966988
Waltham Forest           64156  44395      162983         0.591021731721             0.666026518103
Wandsworth              118463  39421      219521         0.750316688201             0.719220484601
Westminster              53928  24268      120524         0.689651644585             0.648800238957
